,BTC,ETH,LTC,BCH,TRX,XRP,EOS
348,6171.95,186.88,50.2,426.46,0.02077,0.3761,5.0
349,6173.86,188.43,50.44,426.12,0.02072,0.3763,5.01
350,6238.92,195.41,52.95,440.28,0.02288,0.4144,5.17
351,6247.17,192.67,51.65,436.34,0.02365,0.3986,5.17
352,6244.77,192.88,51.59,432.5,0.02289,0.3964,5.15
353,6545.54,207.78,53.28,447.85,0.024380000000000002,0.4506,5.47
354,6511.6,205.49,52.94,446.99,0.02405,0.465,5.5
355,6445.05,200.39,51.79,432.65,0.02436,0.4494,5.38
356,6449.36,200.98,51.93,434.01,0.02335,0.452,5.33
357,6395.45,201.76,52.43,438.15,0.02431,0.4529,5.38
358,6474.47,203.81,52.58,448.21,0.02454,0.4596,5.41
359,6460.38,202.45,51.93,444.75,0.024030000000000003,0.4518,5.43
360,6438.99,200.51,51.85,439.22,0.023280000000000002,0.4402,5.41
361,6465.73,202.44,52.0,441.7,0.023569999999999997,0.4579,5.42
362,6432.3,199.79,51.96,441.51,0.02341,0.455,5.37
363,6441.81,200.46,51.62,437.7,0.02305,0.4549,5.38
364,6445.95,201.65,51.6,436.03,0.02342,0.4547,5.4
365,6444.74,202.5,51.45,437.04,0.02344,0.4562,5.41
366,6282.58,193.94,47.74,412.62,0.0219,0.4332,5.05
367,6286.3,194.2,48.55,414.48,0.02216,0.4414,5.11
368,6241.49,192.45,47.79,408.98,0.02171,0.4369,5.08
369,6322.6,197.17,49.6,421.98,0.022180000000000002,0.4484,5.23
370,6371.57,198.73,50.25,424.44,0.02248,0.4561,5.29
371,6336.96,197.52,50.52,457.74,0.02213,0.4541,5.28
372,6351.92,198.61,50.66,479.63,0.022369999999999998,0.4489,5.3
373,6406.69,206.78,52.86,539.52,0.02336,0.4622,5.42
374,6412.56,208.16,53.62,554.18,0.023809999999999998,0.4992,5.49
375,6476.59,216.48,53.4,608.04,0.0238,0.5263,5.62
376,6438.27,211.07,52.14,573.4,0.023209999999999998,0.4916,5.5
377,6352.45,207.54,51.31,526.3,0.022940000000000002,0.4939,5.37
378,6376.17,209.04,51.67,532.66,0.022969999999999997,0.5005,5.4
379,6326.38,206.61,49.76,516.85,0.02278,0.4958,5.29
380,6350.87,208.97,50.29,502.72,0.02238,0.5024,5.39
381,6315.58,205.66,48.85,504.26,0.02232,0.5072,5.14
382,5469.93,171.51,41.12,412.48,0.0187,0.4112,4.46
383,5300.75,168.57,40.13,264.84,0.01761,0.4273,4.28
384,5487.87,170.76,41.79,351.38,0.0188,0.4619,4.51
385,5524.7,172.57,41.53,318.43,0.01866,0.4671,4.53
386,5567.95,174.05,41.81,332.88,0.018930000000000002,0.4921,4.58
387,4757.01,144.85,35.27,254.17,0.0158,0.465,4.04
388,4168.25,124.36,30.77,222.27,0.01259,0.4089,3.46
389,4315.58,124.5,31.51,244.27,0.013669999999999998,0.414,3.63
390,4297.21,123.89,31.41,246.31,0.01383,0.4205,3.51
391,4157.19,118.18,30.63,227.8,0.01326,0.3944,3.41
392,3741.2,109.62,28.33,190.77,0.012159999999999999,0.3643,3.19
393,3550.04,100.96,26.85,173.34,0.01103,0.3234,3.07
394,3598.81,104.87,27.99,184.43,0.01138,0.341,3.11
395,3613.11,100.77,28.55,182.5,0.01141,0.3426,2.86
396,3822.94,110.2,31.01,188.95,0.01205,0.3625,3.05
397,4130.68,114.14,32.94,198.29,0.014519999999999998,0.3715,2.91
398,3916.3,110.67,31.02,186.88,0.013609999999999999,0.3537,2.81
399,3942.62,110.87,31.2,187.24,0.01404,0.3563,2.82
400,4077.67,115.36,32.99,189.53,0.01465,0.3644,2.82
401,3795.18,105.93,29.8,175.81,0.013590000000000001,0.3435,2.53
402,3770.92,105.55,29.69,167.52,0.01356,0.3375,2.3
403,3719.19,101.2,28.84,147.92,0.01403,0.3359,2.17
404,3467.92,90.05,25.99,114.26,0.01288,0.3042,1.84
405,3248.0,82.08,22.36,96.66,0.01231,0.2894,1.55
406,3295.21,84.81,23.12,95.49,0.012969999999999999,0.2929,1.64
407,3436.5,89.35,24.43,98.85,0.01347,0.3024,1.77
408,3416.77,88.86,23.87,99.67,0.01317,0.2973,1.9
409,3348.98,86.19,22.95,92.98,0.01319,0.2949,1.79
410,3380.48,87.14,23.24,94.97,0.01325,0.2985,1.83
411,3272.81,84.67,22.94,86.4,0.01319,0.2965,1.84
412,3180.97,82.16,22.48,76.04,0.01267,0.2834,1.77
413,3169.53,82.05,23.1,73.83,0.01275,0.2815,1.81
414,3227.4,84.19,23.5,76.44,0.01293,0.285,1.92
415,3239.06,84.9,25.58,78.74,0.01321,0.2866,1.94
416,3481.46,92.93,28.12,85.4,0.01414,0.3263,2.4
417,3693.57,99.85,29.02,102.31,0.01505,0.3488,2.5
418,3712.82,99.75,29.07,124.06,0.015519999999999999,0.348,2.49
419,3831.2,106.88,29.95,172.35,0.01732,0.3547,2.56
420,3849.23,107.24,30.12,182.34,0.01895,0.3504,2.53
421,3972.39,118.32,32.0,189.12,0.02061,0.3656,2.67
422,4006.6,131.53,32.77,176.66,0.02068,0.3754,2.81
423,3734.85,124.03,29.98,150.65,0.01891,0.37,2.47
424,3746.86,125.68,29.32,163.88,0.0198,0.3624,2.53
425,3622.39,114.67,27.8,145.92,0.01856,0.33399999999999996,2.32
426,3628.43,115.35,28.05,141.62,0.018369999999999997,0.3374,2.31
427,3774.38,134.38,30.86,161.64,0.020130000000000002,0.3646,2.65
428,3760.8,131.98,30.51,158.14,0.019719999999999998,0.3624,2.58
429,3701.48,130.82,29.78,146.55,0.01896,0.35200000000000004,2.54
430,3696.94,132.31,29.63,148.06,0.01889,0.3522,2.58
431,3826.29,141.6,31.87,161.33,0.01971,0.3639,2.71
432,3778.76,144.58,31.01,156.6,0.020059999999999998,0.353,2.66
