,BTC,ETH,LTC,BCH,TRX,XRP,EOS
205,8533.22,715.15,139.58,1291.59,0.07697000000000001,0.6985,13.95
206,8419.67,696.73,134.28,1229.05,0.08109,0.6756,13.43
207,7992.75,641.12,128.13,1135.14,0.07322000000000001,0.6384,12.11
208,7505.77,577.01,118.72,994.24,0.06805,0.591,10.67
209,7584.78,602.66,122.88,1073.9,0.07235,0.6293,12.75
210,7475.36,584.77,119.07,1016.45,0.07042999999999999,0.6057,12.18
211,7355.06,585.76,118.44,1006.46,0.07245,0.609,12.21
212,7362.23,569.64,117.96,996.48,0.07016,0.6044,12.44
213,7118.88,512.03,111.17,883.18,0.05969,0.5478,11.51
214,7474.75,566.7,119.49,988.04,0.06402000000000001,0.6001,12.14
215,7393.02,557.12,117.23,982.87,0.061520000000000005,0.6005,11.88
216,7501.74,577.23,118.38,996.52,0.06018,0.6111,12.23
217,7530.55,579.01,120.2,1001.86,0.05826,0.6209,12.23
218,7643.26,590.53,123.62,1084.22,0.060739999999999995,0.6428,14.62
219,7719.73,619.03,125.18,1168.43,0.06172999999999999,0.6883,14.52
220,7503.32,591.31,119.96,1097.9,0.05873,0.6555,13.43
221,7629.4,608.2,122.08,1150.06,0.06034,0.6743,14.15
222,7661.79,606.3,121.49,1129.12,0.059160000000000004,0.6737,13.91
223,7700.4,604.44,121.63,1144.55,0.05902,0.6774,14.6
224,7627.56,599.55,119.99,1115.05,0.05752,0.6734,14.01
225,7513.76,593.35,117.46,1085.74,0.05711,0.6573,14.11
226,6773.72,524.73,106.73,935.9,0.04728,0.5817,11.01
227,6887.43,531.15,107.22,954.26,0.04832,0.5988,11.3
228,6556.94,494.53,100.04,870.74,0.04369,0.5572,9.98
229,6310.43,476.3,93.71,842.82,0.04082,0.5301,10.0
230,6643.63,519.83,101.02,895.33,0.04505,0.5576,11.25
231,6396.71,487.51,95.55,842.61,0.042319999999999997,0.5338,10.54
232,6503.1,497.22,96.7,850.03,0.04305,0.5326,10.54
233,6457.78,496.84,94.98,847.28,0.042460000000000005,0.5269,10.34
234,6714.56,517.63,98.73,884.91,0.04495,0.5392,10.73
235,6741.28,538.45,98.66,907.69,0.04979,0.5489999999999999,10.7
236,6761.27,536.16,97.85,891.94,0.04968,0.5396,10.43
237,6720.64,525.74,96.7,871.59,0.048780000000000004,0.5341,10.41
238,6051.47,462.16,84.97,751.41,0.04272,0.4822,8.52
239,6166.36,474.18,82.96,762.42,0.04464,0.4906,8.37
240,6157.78,455.25,80.62,747.19,0.04212,0.4747,8.05
241,6260.4,458.81,81.61,754.23,0.0421,0.4805,8.18
242,6092.26,429.89,75.82,695.45,0.03835,0.4525,7.36
243,6141.57,441.75,80.73,713.38,0.03901,0.4711,7.99
244,5870.81,420.7,74.18,658.97,0.03658,0.4469,7.38
245,6203.81,435.26,79.04,715.5,0.037489999999999996,0.4538,7.75
246,6385.43,453.41,81.12,747.85,0.03833,0.4685,8.12
247,6342.69,451.96,79.89,736.91,0.037989999999999996,0.4612,8.13
248,6616.6,476.58,85.49,781.15,0.04003,0.4897,8.98
249,6508.43,461.79,84.99,755.8,0.03887,0.4846,8.81
250,6589.77,467.19,85.4,763.41,0.0394,0.49200000000000005,8.91
251,6534.81,467.55,83.3,743.02,0.038380000000000004,0.4773,8.85
252,6602.03,469.93,83.08,732.78,0.03757,0.4764,8.63
253,6758.08,485.82,84.88,772.76,0.03828,0.4851,8.86
254,6707.46,486.19,82.22,749.2,0.03754,0.4782,8.71
255,6668.84,471.48,80.47,729.59,0.03623,0.4731,7.69
256,6306.87,432.69,75.94,686.77,0.03358,0.4426,7.14
257,6394.36,445.59,78.3,707.1,0.033780000000000004,0.449,7.16
258,6253.66,430.91,76.99,686.9,0.03202,0.4379,6.92
259,6229.61,432.46,76.62,694.23,0.033089999999999994,0.4378,6.9
260,6268.32,433.74,76.27,702.02,0.033460000000000004,0.4388,6.94
261,6364.26,449.62,78.63,724.17,0.03437,0.4474,7.4
262,6740.54,478.81,83.67,801.6,0.03754,0.4824,8.1
263,7326.76,499.06,89.05,852.79,0.039869999999999996,0.5066,8.78
264,7383.39,479.03,86.32,824.39,0.03959,0.4887,8.6
265,7477.1,468.65,86.2,824.27,0.037860000000000005,0.4768,8.42
266,7333.93,448.84,81.82,764.93,0.03472,0.4448,7.85
267,7405.4,461.04,83.56,787.28,0.03568,0.4544,8.0
268,7398.64,457.65,82.3,785.21,0.03514,0.4488,7.85
269,7718.0,449.63,81.25,781.91,0.034,0.445,7.93
270,8395.81,479.34,89.19,865.86,0.038,0.4573,8.59
271,8170.37,471.33,86.34,831.23,0.03702,0.45899999999999996,8.53
272,7937.1,462.03,83.54,804.03,0.03583,0.4493,8.31
273,8182.88,469.69,84.45,820.01,0.036660000000000005,0.4548,8.43
274,8230.82,468.55,84.02,822.81,0.03689,0.4577,8.37
275,8216.7,466.2,83.95,830.31,0.03913,0.4529,8.34
276,8176.08,456.56,82.19,814.48,0.0365,0.4458,7.74
277,7736.25,431.97,78.84,776.27,0.0338,0.4351,7.33
278,7610.9,419.87,77.64,767.83,0.03255,0.4464,7.23
279,7542.34,410.83,76.2,731.03,0.03134,0.4306,7.02
280,7417.6,417.62,77.59,724.78,0.03036,0.4402,7.18
281,7017.89,406.91,73.02,695.86,0.0287,0.4296,6.98
282,7042.57,408.78,74.65,709.17,0.030160000000000003,0.4347,7.03
283,6945.77,404.95,73.58,690.96,0.02905,0.4128,7.06
284,6723.29,377.94,67.33,657.05,0.027589999999999996,0.3781,6.57
285,6285.06,355.57,62.22,588.63,0.02418,0.3321,5.59
286,6543.25,363.51,63.02,608.95,0.025710000000000004,0.344,5.76
287,6152.95,331.56,59.14,570.32,0.02364,0.3187,5.24
288,6242.53,317.99,57.91,563.2,0.02216,0.298,4.96
289,6322.41,318.21,59.37,571.36,0.02307,0.2958,4.96
290,6263.2,284.03,56.49,531.6,0.01911,0.2745,4.58
291,6199.63,278.31,54.37,510.26,0.01853,0.273,4.57
292,6274.22,281.24,54.41,511.19,0.01916,0.2803,4.63
293,6323.81,286.8,55.39,516.11,0.01938,0.2916,4.51
294,6591.18,317.57,61.79,603.7,0.02337,0.3672,5.58
295,6405.74,294.85,57.24,554.89,0.02146,0.3284,5.08
296,6502.24,299.62,57.82,570.97,0.02201,0.3414,5.29
297,6270.09,270.76,53.4,513.43,0.0204,0.3149,4.7
298,6491.09,281.13,56.4,536.44,0.020919999999999998,0.33399999999999996,4.9
299,6366.14,270.36,55.18,518.46,0.0196,0.3178,4.71
300,6539.13,275.83,57.28,529.91,0.02085,0.3257,4.9
301,6708.94,281.37,57.92,533.43,0.021519999999999997,0.3269,5.05
302,6749.71,277.56,57.94,536.49,0.0224,0.3273,5.04
303,6720.6,274.3,57.09,523.98,0.0228,0.32299999999999995,4.95
304,6915.92,288.02,60.69,549.26,0.02455,0.3387,5.38
305,7091.38,295.55,63.16,565.28,0.02688,0.3508,5.91
306,7051.61,288.67,61.54,554.53,0.025480000000000003,0.3447,6.13
307,6998.76,284.15,60.22,538.73,0.02502,0.3348,6.07
308,7026.96,281.65,62.12,542.22,0.02541,0.3348,6.4
309,7203.46,295.36,66.47,617.79,0.02665,0.3468,6.66
310,7301.25,295.02,66.23,651.28,0.02567,0.3417,6.64
311,7270.05,288.97,65.38,628.3,0.02501,0.3345,6.47
312,7369.89,285.23,67.68,626.34,0.02544,0.3304,6.48
313,6705.06,228.27,57.73,526.8,0.02166,0.2789,5.16
314,6515.42,229.56,57.49,519.43,0.02164,0.3014,5.23
315,6413.12,215.14,55.55,497.43,0.02034,0.2868,5.06
316,6200.23,196.77,53.14,474.24,0.01915,0.2769,4.74
317,6249.07,195.99,54.72,479.21,0.0193,0.276,4.94
318,6324.43,197.13,54.34,466.54,0.01923,0.2697,5.03
319,6295.54,185.15,52.0,439.9,0.0185,0.263,4.99
320,6337.08,183.03,51.63,431.73,0.01818,0.2699,4.94
321,6492.17,211.27,54.55,463.61,0.02012,0.2792,5.39
322,6485.39,208.87,56.28,447.49,0.0198,0.2761,5.23
323,6522.68,221.62,56.35,448.87,0.01985,0.2807,5.34
324,6502.44,220.12,56.79,450.46,0.01991,0.281,5.41
325,6261.33,196.04,52.09,417.55,0.01839,0.2705,4.84
326,6346.44,208.39,54.0,432.64,0.0193,0.319,5.06
327,6398.83,209.78,54.31,429.8,0.01963,0.3265,5.25
328,6505.97,224.76,56.59,456.12,0.02131,0.4485,5.77
329,6762.07,247.69,60.87,501.93,0.02502,0.5644,6.19
330,6716.6,240.78,60.6,485.43,0.02317,0.5733,5.94
331,6702.73,244.55,61.36,489.53,0.0238,0.5713,6.03
332,6583.53,227.92,57.95,462.39,0.02213,0.4923,5.67
333,6437.74,219.2,57.54,446.34,0.02125,0.5251,5.42
334,6462.6,214.21,57.23,514.23,0.02104,0.5129,5.55
335,6686.13,229.09,63.22,566.04,0.02251,0.5434,5.82
336,6635.4,221.56,61.84,539.29,0.02198,0.5396,5.76
337,6603.75,231.32,61.54,538.21,0.022080000000000002,0.5688,5.75
338,6623.82,232.6,61.1,530.76,0.02216,0.5817,5.72
339,6594.98,230.9,60.28,532.46,0.022080000000000002,0.5769,5.74
340,6525.46,225.42,59.34,531.74,0.02239,0.5165,5.62
341,6492.61,219.97,57.36,516.31,0.02156,0.5277,5.62
342,6580.0,221.76,58.14,513.69,0.02275,0.5281,5.8
343,6632.88,227.9,58.75,520.37,0.02335,0.5195,5.83
344,6589.94,224.62,57.82,509.95,0.02383,0.4877,5.73
345,6601.46,225.65,58.09,519.66,0.026930000000000003,0.48200000000000004,5.76
346,6650.07,229.33,59.44,529.86,0.026639999999999997,0.491,5.94
